name,description,card_type
"The Hills of Edinburgh","The City of Edinburgh famously contains seven hills, all sitting at least 100 metres above sea level. Three of these: Calton Hill (EH7), Arthur's Seat (EH8), and Castle Rock (EH1) can be found within the game area. For this challenge, you must climb to the top of one of these hills and take a team photo at the summit. The summit positions can be found on the in-game map. For Castle Rock (EH1), you need only reach the castle's gatehouse.","challenge"
"Antiquated Acrophobia","The City of Edinburgh hosts many tall buildings, with several being constructed in the 19th century. Four of these: The Scott Monument (EH2), Barclay Viewforth Church (EH10), St Mary's Episcopal Cathedral (EH12), and The Hub (EH1) can be found within the game area. For this challenge, you must reach one of these locations and one member of your team will have three guesses to guess the structure's height within 2 metres. You may not provide hints or clues to the guessing teammate.","challenge"
"Film a Duck","Edinburgh contains several bodies of water which can host ducks and other wildlife. For this challenge, you must find and film a duck for a number of minutes specified by the sum of two D6 dice rolls. During this time, the duck must remain in-frame but you may change position throughout the recording. If at any point the duck leaves the frame, you must wait 5 minutes before trying again.","challenge"
"Find a Cat","Your team must locate and photograph a cat. To qualify, the cat must be a living animal and not a depiction or any other representation.","challenge"
"The Scottish Bakes Scavenger Hunt","Find all five of the following items: Tablet, Empire Biscuits, Shortbread, Morning Rolls, and Butteries. The items do not need to be purchased.","challenge"
"The Scottish Drought","Find a bar or pub which does not stock Tennent's lager.","challenge"
"Flower of Scotland","While next to a thistle or depiction of a thistle, a member of your team must memorise and then sing the entirety of 'Flower of Scotland' without making any lyrical mistakes.","challenge"
"The Bagpipeless Busker","Find a busker or street performer who is playing an instrument other than the bagpipes. The performer must be a solo act and cannot be part of a band/group.","challenge"
"Grave Expectations","While in any graveyard, kirkyard, or cemetery, find three memorials (gravestones, headstones, mausoleums, cenotaphs, etc) with death years from three different centuries. The years cannot be on the same memorial.","challenge"
"The Edinburgh Marsathon","Locate and then eat a deep-fried mars bar. You may either nominate a single team member or share the burden.","challenge"
"Trolley Telepathy","Split your team into two groups. Without communicating before, during, or after, each group will separately enter the same store, such as Tesco, and buy one item without letting the other group see. Afterward, reveal your purchases to each other. If both groups bought the same item, you complete the challenge. If not, repeat the process. You cannot repurchase any item previously bought by either group. You have three attempts to purchase matching items.","challenge"
"Wander Off","Choose one teammate to be The Wanderer. The Wanderer secretly generates a number from 1 to 10, representing the number of minutes they will walk. While the rest of the team looks away, The Wanderer walks at a steady pace for that exact duration. Once time is up, the remaining teammates must search for and find The Wanderer within the same time frame (plus or minus 1 minute). If you fail to find them in time, repeat the challenge starting from The Wanderer's new location.","challenge"
"Split the T","In a single sip, drink enough of a pint/bottle of Tennent's lager such that the liquid level stops directly in the middle of the 'T' logo. If you fail, you may reattempt with a new pint/bottle but have a maximum of three attempts.","challenge"
"Plaque Attack","Find three blue 'Historic Environment Scotland' commemorative plaques and take a team photo with each.","challenge"
"Anthophiliacs Albannaich","Find and photograph three different different types of flowers growing outdoors. One must be blue, one must be white, and the third can be any other colour.","challenge"
